title,soldprice,solddate,link
Dell Precision M4800 Workstation i7 4800MQ 2.7GHZ 16GB RAM 240GB SSD WiFi,195.0,21 May 2022,https://www.ebay.co.uk/itm/325182121883?epid=219497945&hash=item4bb65d679b%3Ag%3A9HEAAOSwsKVieRs5&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M4600 15.6"" Laptop i7-2760QM 2.40GHz 32GB 500GB Quadro - No Batt",119.99,24 May 2022,https://www.ebay.co.uk/itm/125330774664?hash=item1d2e4bda88%3Ag%3AITsAAOSwXotijKTj&LH_BIN=1&LH_ItemCondition=3000
"DELL Precision 7750 Xeon 8 core 128GB ram, 1TB SSD, RTX5000 16gb , 17.3"" FHD 13",1600.0,22 Jun 2022,https://www.ebay.co.uk/itm/284860089953?hash=item4252fc0661%3Ag%3AycwAAOSwKrNirMEG&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 5510 15.6"" Laptop Quad Core i7-6820HQ 2.7GHz,16GB,Quadro - No HDD",279.99,29 Apr 2022,https://www.ebay.co.uk/itm/125285262391?hash=item1d2b956437%3Ag%3AeOMAAOSwIKNial1%7E&LH_BIN=1&LH_ItemCondition=3000
Dell Precision 7510 Laptop,300.0,16 Jul 2022,https://www.ebay.co.uk/itm/125372720740?hash=item1d30cbe664%3Ag%3AauUAAOSwT8piqzAh&LH_BIN=1&LH_ItemCondition=3000
"Retro Dell Precision M6400 2GB, 150Gb Windows XP. TOP OF RANGE IN ITS DAY",50.0,20 May 2022,https://www.ebay.co.uk/itm/384881250334?hash=item599cb5d01e%3Ag%3AsyAAAOSwOLdiej0P&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 7510 15.6"" Laptop Xeon E3-1535M v5, 32GB, 1TB, 256GB SSD, Quadro",339.99,3 May 2022,https://www.ebay.co.uk/itm/115364325641?hash=item1adc3fe909%3Ag%3A5W4AAOSwr91ia7bj&LH_BIN=1&LH_ItemCondition=3000
Dell Precision m3800 laptop,175.0,25 Jun 2022,https://www.ebay.co.uk/itm/275358940546?hash=item401cabfd82%3Ag%3ADzQAAOSwaiFisxFA&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M6800 17.3"" Laptop i7-4910MQ 2.90GHz 16GB 256GB SSD FirePro M6100",272.69,19 Jun 2022,https://www.ebay.co.uk/itm/284829600589?hash=item42512acb4d%3Ag%3AmjYAAOSwp6xhm5ow&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M6800 17.3"" Laptop i7-4800MQ 2.70GHz 8GB 500GB SSHD FirePro M6100",179.99,26 May 2022,https://www.ebay.co.uk/itm/115398531590?hash=item1ade49da06%3Ag%3AUPIAAOSwGZ1ij0ZK&LH_BIN=1&LH_ItemCondition=3000
"DELL Precision 7760 Xeon 8 core 128GB ram,1TB SSD, RTXA5000 16gb , 17.3"" FHD 11",2100.0,4 Jul 2022,https://www.ebay.co.uk/itm/284860027707?hash=item4252fb133b%3Ag%3ASC8AAOSwT%7EhirLVX&LH_BIN=1&LH_ItemCondition=3000
